estimate	arms	conditions	record_N	frame_N	point_estimate	lower_95%	upper_95%	seed	replicates
accuracy	plain_desc	mismatch	2653	2400	0.487372785526	0.467576303311	0.506927419677	42	10000
accuracy	plain_desc	mask	2653	2400	0.681115718055	0.663137695024	0.698646251408	42	10000
accuracy	plain_desc	noise	2653	2400	0.665284583490	0.647190481238	0.683396842135	42	10000
accuracy	plain_desc	mirror	2653	2400	0.802864681493	0.787138021813	0.817674054971	42	10000
source_relative_accuracy_gap	plain_desc	source-minus-grey	2653	2400	0.221258952130	0.201219396448	0.240964084388	42	10000
source_relative_accuracy_gap	plain_desc	source-minus-mismatch	2653	2400	0.326799849227	0.304642825047	0.348950769181	42	10000
source_relative_accuracy_gap	plain_desc	source-minus-mask	2653	2400	0.133056916698	0.115979532920	0.150529906444	42	10000
source_relative_accuracy_gap	plain_desc	source-minus-noise	2653	2400	0.148888051263	0.131892605419	0.166289614040	42	10000
source_relative_accuracy_gap	plain_desc	source-minus-mirror	2653	2400	0.011307953260	0.001878234142	0.021068580646	42	10000
descriptive_accuracy_difference	plain_desc	mirror-minus-mismatch	2653	2400	0.315491895967	0.292644785812	0.337608935634	42	10000
accuracy	point_desc	source	2653	2400	0.815303430079	0.800529777410	0.830004330270	42	10000
accuracy	point_desc	grey	2653	2400	0.626460610629	0.607372577182	0.644751718881	42	10000
accuracy	point_desc	mismatch	2653	2400	0.519035054655	0.499615832329	0.538347656259	42	10000
accuracy	point_desc	mask	2653	2400	0.680361854504	0.662650375085	0.698142003333	42	10000
accuracy	point_desc	noise	2653	2400	0.680361854504	0.662396382818	0.698249949992	42	10000
accuracy	point_desc	mirror	2653	2400	0.805126272145	0.789512899371	0.820000373413	42	10000
source_relative_accuracy_gap	point_desc	source-minus-grey	2653	2400	0.188842819450	0.170776831289	0.207105281288	42	10000
source_relative_accuracy_gap	point_desc	source-minus-mismatch	2653	2400	0.296268375424	0.275197679196	0.317771084337	42	10000
source_relative_accuracy_gap	point_desc	source-minus-mask	2653	2400	0.134941575575	0.118559344859	0.151219512195	42	10000
source_relative_accuracy_gap	point_desc	source-minus-noise	2653	2400	0.134941575575	0.118291658258	0.151927672159	42	10000
source_relative_accuracy_gap	point_desc	source-minus-mirror	2653	2400	0.010177157934	-0.000377073906	0.020810277147	42	10000
descriptive_accuracy_difference	point_desc	mirror-minus-mismatch	2653	2400	0.286091217490	0.264672331855	0.307374004123	42	10000
planned_sufficiency_gap_contrast	plain_desc-minus-plain	(source-minus-grey) contrast	2653	2400	-0.100263852243	-0.118490566038	-0.081763376036	42	10000
planned_sufficiency_gap_contrast	point_desc-minus-point	(source-minus-grey) contrast	2653	2400	-0.129664530720	-0.150356628696	-0.109910378582	42	10000
planned_grey_C_to_W_rate_contrast	plain_desc-minus-plain	grey; source-correct denominator	2653	2400	-0.127556596409	-0.146756001782	-0.108518825077	42	10000
planned_grey_C_to_W_rate_contrast	point_desc-minus-point	grey; source-correct denominator	2653	2400	-0.165716795702	-0.187566911656	-0.144242932937	42	10000
